epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1558198228672,2019-05-18T18:50:28.672,21.120,0.202,-0.872,0.371
1558198228752,2019-05-18T18:50:28.752,21.200,0.201,-0.872,0.371
1558198228832,2019-05-18T18:50:28.832,21.280,0.202,-0.872,0.371
1558198228912,2019-05-18T18:50:28.912,21.360,0.202,-0.872,0.371
1558198228992,2019-05-18T18:50:28.992,21.440,0.202,-0.871,0.370
1558198229072,2019-05-18T18:50:29.072,21.520,0.202,-0.872,0.370
1558198229152,2019-05-18T18:50:29.152,21.600,0.202,-0.872,0.370
1558198229232,2019-05-18T18:50:29.232,21.680,0.202,-0.872,0.371
1558198229312,2019-05-18T18:50:29.312,21.760,0.202,-0.871,0.371
1558198229392,2019-05-18T18:50:29.392,21.840,0.202,-0.872,0.370
1558198229472,2019-05-18T18:50:29.472,21.920,0.202,-0.871,0.370
1558198229552,2019-05-18T18:50:29.552,22.000,0.202,-0.872,0.371
1558198229632,2019-05-18T18:50:29.632,22.080,0.203,-0.872,0.371
1558198229712,2019-05-18T18:50:29.712,22.160,0.202,-0.871,0.370
1558198229792,2019-05-18T18:50:29.792,22.240,0.201,-0.872,0.370
1558198229872,2019-05-18T18:50:29.872,22.320,0.202,-0.872,0.371
1558198229952,2019-05-18T18:50:29.952,22.400,0.201,-0.871,0.371
1558198230032,2019-05-18T18:50:30.032,22.480,0.201,-0.872,0.371
1558198230112,2019-05-18T18:50:30.112,22.560,0.202,-0.872,0.371
1558198230192,2019-05-18T18:50:30.192,22.640,0.202,-0.871,0.370
1558198230272,2019-05-18T18:50:30.272,22.720,0.202,-0.871,0.372
1558198230352,2019-05-18T18:50:30.352,22.800,0.202,-0.872,0.372
1558198230432,2019-05-18T18:50:30.432,22.880,0.202,-0.871,0.371
1558198230512,2019-05-18T18:50:30.512,22.960,0.202,-0.871,0.371
1558198230592,2019-05-18T18:50:30.592,23.040,0.202,-0.872,0.371
1558198230672,2019-05-18T18:50:30.672,23.120,0.201,-0.872,0.370
1558198230752,2019-05-18T18:50:30.752,23.200,0.202,-0.872,0.370
1558198230832,2019-05-18T18:50:30.832,23.280,0.202,-0.871,0.371
1558198230912,2019-05-18T18:50:30.912,23.360,0.202,-0.872,0.370
1558198230992,2019-05-18T18:50:30.992,23.440,0.202,-0.872,0.371
1558198231072,2019-05-18T18:50:31.072,23.520,0.202,-0.871,0.371
1558198231152,2019-05-18T18:50:31.152,23.600,0.202,-0.872,0.372
1558198231232,2019-05-18T18:50:31.232,23.680,0.202,-0.871,0.372
1558198231312,2019-05-18T18:50:31.312,23.760,0.202,-0.872,0.371
1558198231392,2019-05-18T18:50:31.392,23.840,0.202,-0.873,0.372
1558198231472,2019-05-18T18:50:31.472,23.920,0.202,-0.872,0.371
1558198231552,2019-05-18T18:50:31.552,24.000,0.202,-0.872,0.372
1558198231632,2019-05-18T18:50:31.632,24.080,0.202,-0.872,0.372
1558198231712,2019-05-18T18:50:31.712,24.160,0.201,-0.872,0.371
1558198231792,2019-05-18T18:50:31.792,24.240,0.202,-0.872,0.372
1558198231872,2019-05-18T18:50:31.872,24.320,0.202,-0.871,0.372
1558198231952,2019-05-18T18:50:31.952,24.400,0.202,-0.872,0.371
1558198232032,2019-05-18T18:50:32.032,24.480,0.202,-0.873,0.372
1558198232112,2019-05-18T18:50:32.112,24.560,0.202,-0.872,0.370
1558198232192,2019-05-18T18:50:32.192,24.640,0.202,-0.872,0.372
1558198232272,2019-05-18T18:50:32.272,24.720,0.202,-0.872,0.371
1558198232352,2019-05-18T18:50:32.352,24.800,0.202,-0.871,0.372
1558198232432,2019-05-18T18:50:32.432,24.880,0.201,-0.872,0.371
1558198232512,2019-05-18T18:50:32.512,24.960,0.202,-0.871,0.371
1558198232592,2019-05-18T18:50:32.592,25.040,0.202,-0.872,0.369
1558198232672,2019-05-18T18:50:32.672,25.120,0.202,-0.872,0.372
1558198232752,2019-05-18T18:50:32.752,25.200,0.202,-0.872,0.370
1558198232832,2019-05-18T18:50:32.832,25.280,0.202,-0.871,0.371
1558198232912,2019-05-18T18:50:32.912,25.360,0.202,-0.871,0.370
1558198232992,2019-05-18T18:50:32.992,25.440,0.202,-0.871,0.370
1558198233072,2019-05-18T18:50:33.072,25.520,0.202,-0.872,0.372
1558198233152,2019-05-18T18:50:33.152,25.600,0.202,-0.872,0.372
1558198233232,2019-05-18T18:50:33.232,25.680,0.203,-0.872,0.371
1558198233312,2019-05-18T18:50:33.312,25.760,0.202,-0.872,0.371
1558198233392,2019-05-18T18:50:33.392,25.840,0.202,-0.871,0.372
1558198233472,2019-05-18T18:50:33.472,25.920,0.201,-0.871,0.372
1558198233552,2019-05-18T18:50:33.552,26.000,0.202,-0.872,0.371
1558198233632,2019-05-18T18:50:33.632,26.080,0.202,-0.872,0.370
1558198233712,2019-05-18T18:50:33.712,26.160,0.202,-0.871,0.371
1558198233792,2019-05-18T18:50:33.792,26.240,0.202,-0.872,0.370
1558198233872,2019-05-18T18:50:33.872,26.320,0.202,-0.872,0.370
1558198233952,2019-05-18T18:50:33.952,26.400,0.202,-0.871,0.371
1558198234032,2019-05-18T18:50:34.032,26.480,0.202,-0.872,0.371
1558198234112,2019-05-18T18:50:34.112,26.560,0.201,-0.872,0.370
1558198234192,2019-05-18T18:50:34.192,26.640,0.202,-0.872,0.370
1558198234272,2019-05-18T18:50:34.272,26.720,0.202,-0.872,0.370
1558198234352,2019-05-18T18:50:34.352,26.800,0.202,-0.872,0.370
1558198234432,2019-05-18T18:50:34.432,26.880,0.202,-0.872,0.371
1558198234512,2019-05-18T18:50:34.512,26.960,0.201,-0.872,0.371
